sys,msg,itr,dvfs,rapl,rnd_mean,joules_mean,time_mean,edp_mean,llcmiss_total_mean,cycles_total_mean,ins_total_mean,gov_mean,tput_mean,eput_mean,rnd_std,joules_std,time_std,edp_std,llcmiss_total_std,cycles_total_std,ins_total_std,gov_std,tput_std,eput_std
linux,64,24,0x1600,135,4.5,5.815987338,0.24516699316103213,0.7129473801245191,4522185475018.2,305108232890693.9,163049027417178.1,0.0,1305237.4091065894,11.004297422439453,3.0276503540974917,0.022458471551967573,0.0004862312135550703,0.0038556177733407256,2735952103410.307,185176344216842.66,98722644591005.73,0.0,2584.394540006468,0.04227467962347203
linux,64,24,0x1700,135,4.5,5.996764927999999,0.2453810516486385,0.735750983233702,4517576345728.7,304971101453227.6,163016190181244.2,0.0,1304099.8084571136,10.672597030809666,3.0276503540974917,0.025673724207522498,0.0005376120251780222,0.004502261383678164,2734058942328.523,185328706410278.03,98852265028373.03,0.0,2857.1905622465797,0.04568344042017975
linux,64,24,0x1800,135,4.5,6.118933435999999,0.2450619799179241,0.7497615769958346,2832850832083.1,186700518123429.6,88395803239387.2,0.0,1305795.7209251418,10.459419410213185,3.0276503540974917,0.01788993206116618,0.00043005899388083135,0.003301987707624048,1752068523814.4045,113909311321817.02,53610853463636.26,0.0,2285.83179577901,0.0305046078604066
linux,64,24,0x1900,135,4.5,6.32957332,0.24556180181441442,0.7771557782415026,2837048656853.8,186824775731087.9,88428346503415.9,0.0,1303138.9550119035,10.111488970056428,3.0276503540974917,0.03131793623071052,0.0004902495978140849,0.005089843449374107,1753520608940.543,113989468470711.31,53645725670637.88,0.0,2605.945314384275,0.050053699859044114
linux,64,24,0x1A00,135,4.5,6.4990722440000015,0.24526240629738152,0.7969948931608426,2834245617935.6,186494368814756.9,88244925489079.6,0.0,1304730.415096567,9.847816093706077,3.0276503540974913,0.03512396055998221,0.0005255276314904044,0.005646836493027413,1753623212591.0269,114005231092378.27,53652644709369.414,0.0,2793.3323010783915,0.05277346562890477
linux,64,24,0x1B00,135,4.5,6.7048289279999995,0.24525894674446444,0.8222145607780277,2830449341860.4,186141058995476.4,88058654285821.2,0.0,1304748.7101266133,9.545490345405494,3.0276503540974917,0.026216968973184242,0.0005201662393799423,0.00473142955597124,1751877849718.6768,113822679714742.92,53548935668073.055,0.0,2764.953361088103,0.03728726501501291
linux,64,24,0x1C00,135,4.5,6.90899552,0.2452599937793082,0.8472533114146807,2831162716379.6,186087297417174.1,88016041968218.2,0.0,1304743.2155662503,9.263347069803505,3.0276503540974917,0.01874341487678493,0.0005238784147529868,0.0038233608222206328,1758878244144.0835,114232374936125.86,53731166731184.63,0.0,2784.643954918392,0.02509958238863157
linux,64,24,0x1D00,135,4.5,7.134748908000001,0.24546886488581549,0.875680111500381,2828729390980.7,185830157990086.3,87880363092173.3,0.0,1303633.0432730252,8.970217656404667,3.0276503540974913,0.014879996013450017,0.0005259673184202996,0.0028863711851147707,1756413453121.6729,114008499526329.23,53613712546612.99,0.0,2795.610704931452,0.018714876365917923
linux,64,24,0xC00,135,4.5,4.522340676,0.246657157364537,0.5577360049552331,4592804757459.3,309051881650765.6,165041223103904.5,0.0,1297352.2260274678,14.152093913308164,3.0276503540974917,0.014483131217801766,0.000505828249458964,0.002677611246565608,2799653582624.972,187268170484031.53,99562608577016.8,0.0,2662.679279071181,0.04526018418427784
linux,64,24,0xF00,135,4.5,4.842010208,0.2452159625227457,0.5936702000497113,4570367174702.7,307583222513721.9,164239569478157.9,0.0,1304975.6933365322,13.217886327001262,3.0276503540974917,0.021566429873507036,0.0004268991138245344,0.0030840938190566155,2782728540061.162,186548847200787.2,99221496128161.86,0.0,2266.2401259562707,0.05876089774725198
linux,64,28,0x1000,135,4.5,5.750885126,0.28665717064040364,0.8242662894683942,5401778905606.2,363880186399527.5,194379674539218.5,0.0,1116316.0982021654,11.128794240582579,3.0276503540974917,0.015481379178685018,6.376872742134754e-05,0.0022512923671485926,3264519595701.505,218731298913917.88,116288470181462.67,0.0,248.30994257142387,0.02994779528472502
