ITR MSG DVFS RAPL TPUT LAT PK0_JOULE PK1_JOULE START_RDTSC END_RDTSC
0 524288 0xf00 115 6714.967489 5.979767 102.416321 123.456665 685487791765681 685505061769674
0 524288 0xf00 105 6729.56795 5.967774 102.060867 123.137833 685627771047336 685645004354482
0 524288 0xf00 95 6717.185508 5.978382 102.517166 123.332367 685767941916303 685785207411447
0 524288 0xf00 85 6701.483147 5.99249 102.412033 123.662064 685908078662271 685925384623388
0 524288 0xf00 75 6700.73104 5.992865 102.651245 123.719116 686048315691089 686065621998740
0 524288 0xf00 65 6710.801575 5.983976 102.227386 123.576355 686188455387552 686205736164100
0 524288 0xf00 55 6709.797266 5.984535 102.489319 123.545624 686333505836611 686350790090457
0 524288 0xf00 45 6698.26018 5.994843 102.199371 123.738007 686473549134541 686490863627579
0 64 0x1000 135 31.465867 0.177316 2.653107 3.217926 683744107842668 683744557590241
0 64 0x1000 125 31.256629 0.178884 2.674408 3.203735 683854829792730 683855282524968
0 64 0x1000 115 31.374327 0.177896 2.670288 3.208496 683994482226711 683994933275688
0 64 0x1000 105 31.248188 0.178623 2.677231 3.238754 684134148935688 684134601806981
0 64 0x1000 95 31.270995 0.178201 2.678497 3.20166 684273763541459 684274216094862
0 64 0x1000 85 31.329212 0.178675 2.680389 3.203583 684413517452673 684413969161859
0 64 0x1000 75 31.396885 0.178072 2.682541 3.204681 684553523612300 684553974378984
0 64 0x1000 65 31.321594 0.178363 2.696655 3.205551 684695269863780 684695721671153
0 64 0x1000 55 31.197303 0.17866 2.678391 3.242661 684835261452792 684835715037000
0 64 0x1000 45 31.271043 0.178548 2.670898 3.22197 684974936989655 684975389533709
0 8192 0x1000 135 1977.385703 0.326499 5.444382 6.576736 683745189585167 683746105868152
0 8192 0x1000 125 1976.759443 0.338986 5.414688 6.575043 683884833201928 683885749817879
0 8192 0x1000 115 1977.997435 0.338633 5.429092 6.576431 684024485417479 684025401406154
0 8192 0x1000 105 1977.190327 0.338185 5.427887 6.575958 684164140658888 684165057066878
0 8192 0x1000 95 1985.980016 0.337604 5.385406 6.559494 684303769800555 684304682109025
