i rx_desc rx_bytes tx_desc tx_bytes instructions cycles ref_cycles llc_miss c3 c6 c7 joules timestamp
288 0 0 2 66 0 0 0 0 0 0 0 0 11307406562364
289 0 0 6 60560 0 0 0 0 0 0 0 0 11307406936890
290 2 132 3 8012 0 0 0 0 0 0 0 0 11307407311744
291 46 68572 0 0 160939427346 364369478340 372368942759 353818010 4896817823 0 10027251130788 751737673 11307407686272
292 0 0 2 66 0 0 0 0 0 0 0 0 11307408058862
293 0 0 6 60560 0 0 0 0 0 0 0 0 11307408433348
294 2 132 3 8012 0 0 0 0 0 0 0 0 11307408808153
295 46 68572 0 0 0 0 0 0 0 0 0 0 11307409182640
296 0 0 2 66 0 0 0 0 0 0 0 0 11307409555503
297 0 0 6 60560 0 0 0 0 0 0 0 0 11307409930000
298 1 66 3 8012 0 0 0 0 0 0 0 0 11307410305008
299 47 68638 0 0 160939664198 364369876277 372369856462 353821982 4896817823 0 10027251130788 751738876 11307410680342
300 0 0 2 66 0 0 0 0 0 0 0 0 11307411052126
301 0 0 6 60560 0 0 0 0 0 0 0 0 11307411426989
302 2 132 3 8012 0 0 0 0 0 0 0 0 11307411801533
303 46 68572 0 0 0 0 0 0 0 0 0 0 11307412176510
304 0 0 2 66 0 0 0 0 0 0 0 0 11307412548787
305 0 0 6 60560 0 0 0 0 0 0 0 0 11307412923630
306 1 66 3 8012 0 0 0 0 0 0 0 0 11307413298049
307 47 68638 0 0 160939900300 364370278076 372370778140 353825978 4896817823 0 10027251130788 751740085 11307413673390
308 0 0 2 66 0 0 0 0 0 0 0 0 11307414045486
309 0 0 6 60560 0 0 0 0 0 0 0 0 11307414420166
310 2 132 3 8012 0 0 0 0 0 0 0 0 11307414795783
311 46 68572 0 0 0 0 0 0 0 0 0 0 11307415167893
312 0 0 2 66 0 0 0 0 0 0 0 0 11307415542834
313 0 0 6 60560 0 0 0 0 0 0 0 0 11307415916856
314 2 132 3 8012 0 0 0 0 0 0 0 0 11307416291574
315 46 68572 0 0 160940136430 364370671022 372371712694 353829872 4896817823 0 10027251130788 751741288 11307416666941
316 0 0 2 66 0 0 0 0 0 0 0 0 11307417038886
317 0 0 6 60560 0 0 0 0 0 0 0 0 11307417413421
318 2 132 3 8012 0 0 0 0 0 0 0 0 11307417788081
319 46 68572 0 0 0 0 0 0 0 0 0 0 11307418163631
320 0 0 2 66 0 0 0 0 0 0 0 0 11307418535605
321 0 0 6 60560 0 0 0 0 0 0 0 0 11307418910091
322 1 66 3 8012 0 0 0 0 0 0 0 0 11307419284858
323 47 68638 0 0 160940375288 364371052850 372372635561 353833789 4896817823 0 10027251130788 751742465 11307419660524
324 0 0 2 66 0 0 0 0 0 0 0 0 11307420032440
325 0 0 6 60560 0 0 0 0 0 0 0 0 11307420406830
326 2 132 3 8012 0 0 0 0 0 0 0 0 11307420781597
327 46 68572 0 0 0 0 0 0 0 0 0 0 11307421157011
328 0 0 2 66 0 0 0 0 0 0 0 0 11307421528945
329 0 0 6 60560 0 0 0 0 0 0 0 0 11307421903393
330 2 132 3 8012 0 0 0 0 0 0 0 0 11307422278354
331 46 68572 0 0 160940615227 364371439398 372373569738 353837651 4896817823 0 10027251130788 751743658 11307422654156
332 0 0 2 66 0 0 0 0 0 0 0 0 11307423025646
333 0 0 6 60560 0 0 0 0 0 0 0 0 11307423400103
334 2 132 3 8012 0 0 0 0 0 0 0 0 11307423775102
335 46 68572 0 0 0 0 0 0 0 0 0 0 11307424150266
336 0 0 2 66 0 0 0 0 0 0 0 0 11307424522267
337 0 0 6 60560 0 0 0 0 0 0 0 0 11307424896773
338 2 132 3 8012 0 0 0 0 0 0 0 0 11307425271627
339 46 68572 0 0 160940854208 364371814745 372374476858 353841636 4896817823 0 10027251130788 751744840 11307425647188
340 0 0 2 66 0 0 0 0 0 0 0 0 11307426018957
341 0 0 6 60560 0 0 0 0 0 0 0 0 11307426393387
342 2 132 3 8012 0 0 0 0 0 0 0 0 11307426768453
343 46 68572 0 0 0 0 0 0 0 0 0 0 11307427144041
344 0 0 2 66 0 0 0 0 0 0 0 0 11307427515638
345 0 0 6 60560 0 0 0 0 0 0 0 0 11307427890144
346 2 132 3 8012 0 0 0 0 0 0 0 0 11307428264679
347 46 68572 0 0 160941093399 364372196139 372375398565 353845499 4896817823 0 10027251130788 751746018 11307428640461
348 0 0 2 66 0 0 0 0 0 0 0 0 11307429012290
349 0 0 6 60560 0 0 0 0 0 0 0 0 11307429386776
350 2 132 3 8012 0 0 0 0 0 0 0 0 11307429762114
351 46 68572 0 0 0 0 0 0 0 0 0 0 11307430137113
352 0 0 2 66 0 0 0 0 0 0 0 0 11307430508911
353 0 0 6 60560 0 0 0 0 0 0 0 0 11307430883524
354 2 132 3 8012 0 0 0 0 0 0 0 0 11307431258340
355 46 68572 0 0 160941336453 364372581943 372376331002 353849417 4896817823 0 10027251130788 751747199 11307431633745
356 0 0 2 66 0 0 0 0 0 0 0 0 11307432005641
357 0 0 6 60560 0 0 0 0 0 0 0 0 11307432380098
358 2 132 3 8012 0 0 0 0 0 0 0 0 11307432754430
359 46 68572 0 0 0 0 0 0 0 0 0 0 11307433130087
360 0 0 2 66 0 0 0 0 0 0 0 0 11307433502320
361 1 66 6 60560 0 0 0 0 0 0 0 0 11307433877107
362 2 132 3 8012 0 0 0 0 0 0 0 0 11307434251294
363 46 68572 0 0 160941581378 364372968289 372377264686 353853405 4896817823 0 10027251130788 751748392 11307434627047
364 0 0 2 66 0 0 0 0 0 0 0 0 11307434998972
365 0 0 6 60560 0 0 0 0 0 0 0 0 11307435373469
366 2 132 3 8012 0 0 0 0 0 0 0 0 11307435748497
367 46 68572 0 0 0 0 0 0 0 0 0 0 11307436123418
368 0 0 2 66 0 0 0 0 0 0 0 0 11307436495624
369 0 0 6 60560 0 0 0 0 0 0 0 0 11307436870275
370 2 132 3 8012 0 0 0 0 0 0 0 0 11307437244317
371 46 68572 0 0 160941821455 364373344052 372378172734 353857465 4896817823 0 10027251130788 751749582 11307437620273
372 0 0 2 66 0 0 0 0 0 0 0 0 11307437992314
373 0 0 6 60560 0 0 0 0 0 0 0 0 11307438367032
374 2 132 3 8012 0 0 0 0 0 0 0 0 11307438741016
375 46 68572 0 0 0 0 0 0 0 0 0 0 11307439116818
376 0 0 2 66 0 0 0 0 0 0 0 0 11307439488955
377 0 0 6 60560 0 0 0 0 0 0 0 0 11307439863481
378 2 132 3 8012 0 0 0 0 0 0 0 0 11307440237590
379 46 68572 0 0 160942061823 364373720512 372379082522 353861456 4896817823 0 10027251130788 751750767 11307440613816
380 0 0 2 66 0 0 0 0 0 0 0 0 11307440985645
381 0 0 6 60560 0 0 0 0 0 0 0 0 11307441360287
382 2 132 3 8012 0 0 0 0 0 0 0 0 11307441734376
383 46 68572 0 0 0 0 0 0 0 0 0 0 11307442111048
384 0 0 2 66 0 0 0 0 0 0 0 0 11307442482335
385 0 0 6 60560 0 0 0 0 0 0 0 0 11307442856734
386 2 132 3 8012 0 0 0 0 0 0 0 0 11307443231153
387 46 68572 0 0 160942298427 364374095731 372379989323 353865554 4896817823 0 10027251130788 751751965 11307443607584
388 0 0 2 66 0 0 0 0 0 0 0 0 11307443979480
389 0 0 6 60560 0 0 0 0 0 0 0 0 11307444353502
390 2 132 3 8012 0 0 0 0 0 0 0 0 11307444727776
391 46 68572 0 0 0 0 0 0 0 0 0 0 11307445103897
392 0 0 2 66 0 0 0 0 0 0 0 0 11307445475715
393 0 0 6 60560 0 0 0 0 0 0 0 0 11307445850163
394 2 132 3 8012 0 0 0 0 0 0 0 0 11307446224446
395 46 68572 0 0 160942538223 364374478655 372380914684 353869447 4896817823 0 10027251130788 751753142 11307446600480
396 0 0 2 66 0 0 0 0 0 0 0 0 11307446972434
397 0 0 6 60560 0 0 0 0 0 0 0 0 11307447346949
398 2 132 3 8012 0 0 0 0 0 0 0 0 11307447721107
399 46 68572 0 0 0 0 0 0 0 0 0 0 11307448097161
400 0 0 2 66 0 0 0 0 0 0 0 0 11307448469037
401 0 0 6 60560 0 0 0 0 0 0 0 0 11307448843601
402 2 132 3 8012 0 0 0 0 0 0 0 0 11307449217739
403 46 68572 0 0 160942776852 364374856715 372381828329 353873372 4896817823 0 10027251130788 751754340 11307449593822
404 0 0 2 66 0 0 0 0 0 0 0 0 11307449965805
405 0 0 6 60560 0 0 0 0 0 0 0 0 11307450340262
406 2 132 3 8012 0 0 0 0 0 0 0 0 11307450714429
407 46 68572 0 0 0 0 0 0 0 0 0 0 11307451091179
408 0 0 2 66 0 0 0 0 0 0 0 0 11307451462397
