,sys,rnd,msg,itr,dvfs,rapl,joules,time,edp,llcmiss_total,cycles_total,ins_total,num_interrupts
1817,linux,3,8192,12,0x1B00,135,549341.0,864685694.0,237503651913827.0,3407278568844,348110891125319.0,207615208589468,20033
1818,ebbrt,2,65536,32,0x1800,135,1199834.0,2381097779.0,1428461036284343.0,112690020,145634881825.0,152932692035,24973
1819,linux,3,64,24,0x1000,135,324445.0,710370939.0,115238149651927.5,3007291014362,209503074288012.0,113027832302769,9995
1820,linux,8,64,12,0x1100,135,255782.0,541583822.0,69263696579402.0,5883546830503,392817778035711.0,209026286068892,10008
1821,linux,5,65536,60,0x1900,135,2511597.0,4729945444.0,5939858393657034.0,18336842735044,2647277075236438.0,1797949483293758,26524
1822,linux,3,524288,20,0x1900,135,8704093.0,14023884609.0,6.103259792900232e+16,678229122583471,8.116728846178654e+16,64056681506354756,234270
1823,linux,5,524288,28,0x1200,135,7300441.0,14308889479.0,5.223060170848012e+16,55852693428914,7338326702107107.0,5585791344228392,171686
1824,linux,7,65536,24,0x1A00,135,1818762.0,2901972521.0,2638998673119501.0,18475783453864,2520214235138089.0,1750163474587132,40622
1825,linux,6,8192,1,0x1700,135,1784313.0,3708980326.0,3308990906213019.0,32716562595315,2886788200784561.0,1730718813416276,9974
1826,linux,3,65536,12,0x1800,135,1568977.0,2608747709.0,2046532577111846.5,3960272584355,566224572583269.0,399041335531084,71427
1827,ebbrt,9,65536,60,0x1B00,135,1723743.0,3559028947.0,3067425617094310.5,123199294,253765812678.0,355419831712,19996
1828,linux,9,64,32,0x1600,135,478442.0,917132002.0,219397234650442.0,11370966621202,758242898414586.0,402868267299723,9676
1829,linux,0,65536,8,0x1C00,135,1704309.0,2465154665.0,2100692640975742.5,1111402946946,204215566283296.0,137301062413290,90370
1830,linux,8,65536,80,0x1700,135,3088177.0,6132773017.0,9469544288660004.0,46941880943337,6320148660012312.0,4421149031113912,25808
1831,ebbrt,5,65536,24,0x1C00,135,1091106.0,2511871946.0,1370359275756138.0,121631513,146333854439.0,114868371583,34931
1832,linux,1,8192,36,0xF00,135,714128.0,1619303996.0,578195162027744.0,3256746694675,332177621367182.0,197929685174534,14929
1833,linux,5,64,12,0x1200,135,256914.0,526807238.0,67672077371766.0,3453399091036,238312414232145.0,128106847597342,10014
1834,linux,8,8192,36,0x1D00,135,1000002.0,1575002006.0,787502578002006.0,20860127080223,1807074188159066.0,1076268935257759,14675
1835,ebbrt,6,8192,36,0x1A00,135,425619.0,1065630955.0,226776390718072.5,10563278,10956303112.0,5426190294,10000
1836,ebbrt,2,64,20,0x1100,135,237545.0,590826043.0,70173886192217.5,5009892,6064807737.0,2724985014,9982
1837,ebbrt,5,64,24,0x1900,135,284691.0,710064333.0,101074462513051.5,5533502,7163092587.0,3252395137,9993
1838,linux,6,524288,36,0x1C00,135,9389621.0,14364516913.0,6.743868483057998e+16,151426941147094,1.8621051912406932e+16,13972453428787236,134283
1839,linux,7,8192,20,0x1100,135,562810.0,1187064534.0,334045895190270.0,13631932332796,1188742136695808.0,709394711449125,19988
1840,linux,3,65536,28,0x1D00,135,2012820.0,2943355557.0,2962222466120370.0,5345464106213,749974959799307.0,529316829613758,35376
