sys i itr dvfs rapl QPS time joule ins cyc refcyc llcm c3 c6 c7 read_5th read_10th read_50th read_90th read_95th read_99th RDTSC_START RDTSC_END QPS_reported
ebbrt 1 400 0x1c00 135 0 10.01 410.56 14582715 44839158 1932949 91222 0 0 349577350948 0 0 0 0 0 0 33219952577862 33248985543050
ebbrt 0 400 0x1c00 95 0 10.01 451.01 14127041 43352821 1847885 91928 34340205 0 273523799176 0 0 0 0 0 0 33607339297296 33636369181066
ebbrt 1 400 0x1c00 95 0 11.48 428.63 26369448 97838576 4507929 241219 106908094 0 418379225070 0 0 0 0 0 0 33797066562861 33830362613306
ebbrt 0 400 0x1c00 75 0 10.01 353.38 13916498 46385441 2071437 104436 509704 0 397225818174 0 0 0 0 0 0 34189096459873 34218129040150
ebbrt 1 400 0x1c00 75 0 10.01 519.79 12364758 39230526 1696708 83511 573678 0 264265261264 0 0 0 0 0 0 34383121778902 34412151362104
ebbrt 0 400 0x1c00 55 0 10.01 449.67 12815259 40920836 1777704 87106 299019 0 358696906505 0 0 0 0 0 0 34771196813970 34800225286266
ebbrt 1 400 0x1c00 55 0 10.01 473.47 12721454 47802115 2190542 116235 32786704 0 312005888750 0 0 0 0 0 0 34964895648674 34993925708488
ebbrt 0 400 0x1c00 135 0 10.01 545.07 11574172 44750738 2093161 113494 938788 0 213819018342 0 0 0 0 0 0 35352431567960 35381463029094
ebbrt 1 400 0x1c00 135 0 10.01 424.28 11813035 36343457 1574666 77570 1020191 0 252141174424 0 0 0 0 0 0 35546306155342 35575337512008
ebbrt 0 400 0x1c00 95 0 10.01 416.97 10343578 32515328 1407169 67618 0 0 282789301438 0 0 0 0 0 0 35934146586954 35963176449146
ebbrt 1 400 0x1c00 95 0 10.01 471.09 11730116 41277645 1864486 100062 32769478 0 268086116998 0 0 0 0 0 0 36128156722693 36157187258229
ebbrt 0 400 0x1c00 75 0 10.01 374.59 11672003 41651544 1873658 98170 98230830 0 366606925161 0 0 0 0 0 0 36515908761782 36544939332368
ebbrt 1 400 0x1c00 75 0 10.01 489.79 11547216 43641900 2057993 110804 0 0 412649573531 0 0 0 0 0 0 36709702893150 36738733749870
ebbrt 0 400 0x1c00 55 0 12802.24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 37126490368705
ebbrt 1 400 0x1c00 55 0 10.01 392.78 10753245 40438742 1882464 107207 1856957 0 368714374388 0 0 0 0 0 0 37291346984274 37320376477045
ebbrt 0 50 0x1b00 135 0 10.01 472.54 10353597 39626551 1627124 102594 0 0 275835288343 0 0 0 0 0 0 37678875995782 37707905044856
ebbrt 1 50 0x1b00 135 0 10.01 381.22 14655051 51100386 2082772 118866 0 0 370428398131 0 0 0 0 0 0 37872650296439 37901681005726
ebbrt 0 50 0x1b00 95 0 10.01 453.96 19360743 55243975 2145780 111262 0 0 380935714671 0 0 0 0 0 0 38260413056176 38289444691504
ebbrt 1 50 0x1b00 95 0 10.01 441.23 18248785 54933947 2170927 110826 0 0 288356905762 0 0 0 0 0 0 38454305470206 38483336407682
ebbrt 0 50 0x1b00 75 0 10.01 337.45 18563088 48775085 1870927 86310 0 0 342209475054 0 0 0 0 0 0 38841803704298 38870833192970
linux 0 50 0x1d00 135 50009.5 20.0 2040.79 87845879191 146174174291 148516391201 211570461 2101369 0 12025662 55.9 57.8 75.4 128.5 157.8 196.3 11581388451582 11639393642163 50000
linux 1 50 0x1d00 135 49986.9 20.0 2047.79 87988357937 146530067090 149099921197 212833305 691012 0 20940987 55.9 57.8 75.5 128.4 156.0 197.0 11735481512642 11793486511009 50000
linux 2 50 0x1d00 135 49997.4 20.0 2047.37 87989805529 146449998999 148984607424 211981014 6850757 0 19156385 55.6 57.4 75.2 129.1 158.7 198.4 11888875916332 11946880779916 50000
linux 0 50 0x1d00 95 49865.2 20.0 2053.03 88061672506 146496769367 148709153882 214276764 1839731 0 18972496 55.6 57.4 75.2 129.0 158.4 199.7 13125188642436 13183193816691 50000
linux 1 50 0x1d00 95 50069.6 20.0 2050.53 88474121219 147373422202 149932437276 215508818 1890336 0 60056651 55.6 57.4 75.2 127.3 156.4 196.3 13277385035766 13335388894678 50000
linux 2 50 0x1d00 95 50186.1 20.0 2051.02 88388772312 147920104795 150302828234 214984912 2495682 0 23216704 55.9 57.7 75.4 128.0 157.9 195.9 13430432018335 13488437063664 50000
linux 0 50 0x1d00 75 50013.3 20.0 2022.05 88917325405 148745696840 150601698435 219042289 71756498 0 41026688861 56.3 58.6 77.0 128.5 161.3 200.3 14666648536304 14724653787448 50000
linux 1 50 0x1d00 75 49988.4 20.0 2053.62 88187708433 147759694070 150133292726 216503147 1139207 0 16665198 55.5 57.3 75.2 128.9 160.1 200.6 14819721021876 14877725054926 50000
linux 2 50 0x1d00 75 50150.3 20.0 2299.41 88393336365 148166992304 150339980801 217756604 717547 0 23032641 55.7 57.5 75.3 127.6 158.5 199.6 14973533448502 15031538410195 50000
linux 0 50 0x1d00 55 50095.7 20.0 2044.37 87630443024 144387371184 146673736247 207185100 1312540 0 19908848 55.4 57.2 74.5 127.0 154.8 194.2 16291571532674 16349577256712 50000
