sys i itr dvfs rapl lat50 lat75 lat90 lat99 requests time joule ins cyc refcyc llcm c3 c6 c7 START_RDTSC END_RDTSC
ebbrt 8 6 0x1900 135 64.0 67.0 112.0 117.0 395818 30.1 820.29 36900741264 54277724326 2403343538 28723482 0 0 185455 16286320961256 16373610732774
ebbrt 9 6 0x1900 135 64.0 66.0 112.0 116.0 403477 30.1 821.67 37557402070 54769671556 2411305703 29404993 36395 0 251662 16417162901088 16504455476044
ebbrt 0 6 0x1700 135 67.0 67.0 69.0 116.0 426956 30.1 783.47 39828201122 57555505814 2551750605 31009859 63597 0 258825 16547944582628 16635232699710
ebbrt 1 6 0x1700 135 67.0 68.0 69.0 116.0 429105 30.1 784.66 39966293578 58375175989 2573119051 31503369 27057 0 230724 16679597834429 16766887360907
ebbrt 2 6 0x1700 135 67.0 67.0 69.0 116.0 424316 30.1 782.41 39466083391 57078617838 2540605998 31012571 34974 0 308792 16811124116851 16898414425280
ebbrt 3 6 0x1700 135 67.0 67.0 68.0 115.0 433097 30.1 784.99 40386763376 58520236691 2574710097 31514785 34916 0 250937 16942395101278 17029683470934
ebbrt 4 6 0x1700 135 67.0 68.0 69.0 117.0 427066 30.1 784.37 39877159203 58424856151 2573911629 31110742 72993 0 235335 17073997229565 17161288173295
ebbrt 5 6 0x1700 135 67.0 68.0 69.0 116.0 429095 30.1 784.57 39958086934 58358891087 2573239212 31502096 43355 0 302035 17205402194466 17292691533010
ebbrt 6 6 0x1700 135 66.0 67.0 69.0 115.0 430043 30.1 783.67 40009805937 57863697846 2559565256 31312297 37584 0 870232 17336791361030 17424082429881
ebbrt 7 6 0x1700 135 66.0 67.0 70.0 116.0 422092 30.1 781.45 39223264289 56395055812 2526987065 30778253 54375 0 238873 17468129247031 17555418248051
ebbrt 8 6 0x1700 135 66.0 67.0 69.0 116.0 425377 30.1 782.53 40101308816 57020817742 2540087527 31257792 26738 0 214600 17599774288165 17687066275424
ebbrt 9 6 0x1700 135 67.0 67.0 73.0 117.0 417322 30.1 780.43 39249228391 55855255799 2515498675 30687094 71340 0 215296 17731365116768 17818655123644
ebbrt 0 6 0x1500 135 70.0 72.0 79.0 116.0 406619 30.1 737.99 38198649976 56692212735 2709053401 34790229 233827 0 48791659 17862638600237 17949927085844
ebbrt 1 6 0x1500 135 80.0 82.0 83.0 180.0 363549 30.1 745.49 34310722528 61517090037 2936971006 54324698 0 0 148233819 17993808316642 18081097678760
ebbrt 2 6 0x1500 135 80.0 82.0 84.0 184.0 359100 30.1 744.97 33880135441 61236402714 2926864758 54075596 0 0 217995378 18124084440033 18211375088705
ebbrt 3 6 0x1500 135 79.0 81.0 83.0 175.0 377972 30.1 742.47 35590824227 59781002886 2855602728 47219438 304732 0 132549691 18254555104256 18341845804200
ebbrt 4 6 0x1500 135 80.0 82.0 84.0 184.0 360549 30.1 744.77 33683021915 61246250616 2927151864 53913014 0 0 213683890 18385215727894 18472503794274
ebbrt 5 6 0x1500 135 80.0 82.0 84.0 183.0 360040 30.1 744.98 33839611419 61242222468 2926954457 54155145 0 0 213165979 18515508253840 18602798119960
ebbrt 6 6 0x1500 135 81.0 83.0 85.0 184.0 356950 30.1 745.23 33323061309 61351906455 2931155170 53402457 0 0 194175039 18645805102869 18733095928202
ebbrt 7 6 0x1500 135 81.0 83.0 85.0 183.0 357217 30.1 745.83 33939435873 61506322088 2936726369 53488805 0 0 154103535 18776090097666 18863379042180
ebbrt 8 6 0x1500 135 81.0 83.0 85.0 184.0 356734 0.0 755.82 33847973196 61410302683 2933294247 53579485 0 0 1927486363 18906372353201 18906372083748
ebbrt 9 6 0x1500 135 81.0 83.0 85.0 185.0 356042 30.1 745.25 33657240747 61397098704 2932829853 53115038 0 0 181653506 19036857768534 19124145248991
ebbrt 0 6 0x1300 135 88.0 89.0 91.0 99.0 346488 30.1 699.68 32828444108 56290650822 2963962028 46512478 0 0 32909896 19167435743467 19254726912855
ebbrt 1 6 0x1300 135 88.0 89.0 91.0 99.0 346095 30.1 699.06 32727318294 56276005190 2963260464 46670961 0 0 34006763 19297056975577 19384345738433
ebbrt 2 6 0x1300 135 88.0 89.0 91.0 99.0 346417 30.1 699.2 32443805825 56289146754 2963875252 46599458 0 0 32824781 19426901188730 19514190906256
ebbrt 3 6 0x1300 135 88.0 89.0 91.0 99.0 346865 30.1 699.94 32712191425 56285777907 2963742240 46533264 0 0 34077146 19556513499587 19643804526215
ebbrt 4 6 0x1300 135 88.0 89.0 91.0 99.0 345637 30.1 699.8 32247014449 56271312090 2963080954 46334755 0 0 36044361 19686061973123 19773353019930
ebbrt 5 6 0x1300 135 88.0 89.0 91.0 98.0 349023 30.1 700.3 33156229603 56360462030 2967393506 45501580 0 0 27367851 19816046709555 19903335064728
ebbrt 6 6 0x1300 135 88.0 89.0 91.0 98.0 347219 30.1 700.45 32945904543 56325575557 2965653612 46049521 0 0 29419688 19945269166671 20032559526379
ebbrt 7 6 0x1300 135 88.0 89.0 91.0 98.0 349008 30.1 700.21 32939603695 56344940846 2966637592 45901292 0 0 28543685 20074696175393 20161987014219
ebbrt 8 6 0x1300 135 88.0 89.0 91.0 98.0 349832 30.1 700.68 32945165964 56375003002 2968077873 45252885 0 0 24835136 20204247360823 20291536652537
ebbrt 9 6 0x1300 135 88.0 89.0 91.0 98.0 347930 30.1 700.71 32679175850 56336337475 2966229955 45871108 0 0 29400200 20333598775093 20420888511166
ebbrt 0 6 0x1100 135 79.0 98.0 99.0 104.0 347141 30.1 657.05 32510920131 50801668302 2988410971 34820430 0 0 1222611 20463463204339 20550756727246
ebbrt 1 6 0x1100 135 80.0 98.0 99.0 105.0 343516 30.1 656.72 32388721642 50785088106 2987437749 35278940 0 0 1615561 20591955241890 20679244943103
ebbrt 2 6 0x1100 135 80.0 98.0 99.0 105.0 340126 30.1 656.82 32060068040 50730452634 2984237096 36437321 0 0 1630844 20720394199176 20807683448669
ebbrt 3 6 0x1100 135 79.0 97.0 98.0 104.0 346592 30.1 656.74 32881870038 50795813104 2988070672 35101085 0 0 1373643 20848930714666 20936221229168
ebbrt 4 6 0x1100 135 84.0 98.0 99.0 105.0 336145 30.1 656.64 31932898870 50696943494 2982289581 37158325 0 0 2109112 20977438144672 21064729046548
ebbrt 5 6 0x1100 135 78.0 97.0 98.0 103.0 353698 30.1 656.81 33511192799 50858431154 2991742181 33821725 0 0 1312453 21105867467315 21193158851198
ebbrt 6 6 0x1100 135 78.0 97.0 98.0 103.0 351893 0.0 668.08 33174752437 50840124400 2990666897 34157713 0 0 1864406259 21234234730937 21234234200151
ebbrt 7 6 0x1100 135 79.0 97.0 98.0 103.0 348264 30.1 656.79 32844698159 50806301549 2988684550 34748495 0 0 1968114 21362539929552 21449830459968
ebbrt 8 6 0x1100 135 78.0 97.0 98.0 103.0 350677 30.1 656.71 33166740665 50812904408 2989063746 34918605 0 0 1056760 21490969244100 21578260251084
ebbrt 9 6 0x1100 135 79.0 97.0 98.0 104.0 346301 30.1 656.75 32450622073 50756121047 2985754583 35802159 0 0 1696616 21619441954574 21706731325980
ebbrt 0 6 0xf00 135 84.0 87.0 88.0 97.0 347207 30.1 618.82 32365699946 45128392809 3008809724 24348543 0 0 0 21747836465253 21835126142499
ebbrt 1 6 0xf00 135 84.0 87.0 89.0 97.0 346916 30.1 618.94 32589968723 45126880418 3008713033 24229153 0 0 571329 21874711021458 21962004742680
ebbrt 2 6 0xf00 135 83.0 86.0 88.0 97.0 351075 30.1 618.75 33198079054 45124503196 3008669467 24876413 0 0 0 22001544106883 22088833771315
ebbrt 3 6 0xf00 135 84.0 86.0 88.0 98.0 348324 30.1 618.87 32964337175 45121196921 3008532421 24558080 0 0 0 22128489267769 22215778780933
ebbrt 4 6 0xf00 135 84.0 86.0 88.0 96.0 349690 30.1 618.83 32909078966 45126929606 3008699668 24647463 0 0 0 22255474658598 22342764897892
