sys i itr dvfs rapl QPS time joule ins cyc refcyc llcm c3 c6 c7 read_5th read_10th read_50th read_90th read_95th read_99th RDTSC_START RDTSC_END
linux 1 1 0x1d00 95 599854.6 30.0 4496.83 827069190764 1137542994458 1138113712673 2033243634 3583122869 0 2372017177214 46.0 48.0 57.9 75.4 82.8 108.7 70712005980820 70799020127784
linux 2 1 0x1d00 95 600017.7 30.01 4465.41 779581303667 1119993708888 1120438317711 2014212652 3809378897 0 18446675096208628419 46.3 48.6 58.4 76.0 83.6 108.6 71213455134845 71300469800053
linux 3 1 0x1d00 95 600005.4 30.01 4556.71 798707637134 1125082247310 1125614804980 1969820241 3760338679 0 2396272779360 45.9 47.9 57.8 75.3 83.6 112.3 71713417307466 71800432963106
linux 4 1 0x1d00 95 599873.3 30.01 4371.96 801269590818 1129760662974 1130273315013 2021884042 3745197779 0 2367500213194 45.7 47.7 57.8 75.8 83.9 113.3 72213814849504 72300830097475
linux 0 1 0x1d00 55 600294.9 30.01 3395.73 839268186815 1049545496353 1301698991538 1982285151 4028123780 0 2340511810577 50.9 53.5 69.9 155.0 1757.2 9194.0 72724138981030 72811154017746
linux 1 1 0x1d00 55 600304.8 30.01 3577.67 749125309005 1004855680623 1257157160100 1914332936 3806564737 0 18446673030069690937 50.9 53.7 70.1 161.5 1844.0 9123.0 73221708842764 73308727212307
linux 2 1 0x1d00 55 600058.0 30.01 3341.56 621773610879 947192831736 1199907061269 1841794537 2912587537 0 2415186859703 51.4 54.4 70.8 162.1 1926.3 9174.2 73718629257890 73805644765322
linux 3 1 0x1d00 55 599954.4 30.01 3418.68 671696269767 965408579269 1219170842868 1867098485 3145747856 0 2414201436049 51.3 54.3 71.0 160.7 1784.0 9155.5 74213933974854 74300949253733
linux 4 1 0x1d00 55 599839.2 30.01 3408.04 587568109053 931079783978 1184078830413 1830863356 3165152626 0 2440264772538 50.9 53.7 70.0 177.7 2179.1 9410.3 74709862071334 74796876876767
linux 0 1 0x1b00 135 200076.2 30.01 3130.64 313736619836 445867609840 479208187424 511687148 3338283641 0 1408007575353 44.4 45.7 50.7 59.2 62.2 69.5 75208640723419 75295656449915
linux 1 1 0x1b00 135 200014.1 30.01 3094.04 294268885370 442293973916 475462736185 526719592 2578593319 0 1412895147976 43.8 45.5 50.4 59.0 61.8 68.7 75559425218363 75646440841196
linux 2 1 0x1b00 135 199887.4 30.01 3080.78 319684228987 450973555043 484662197965 522581118 2688355129 0 1387965500744 44.4 45.7 50.7 59.1 62.0 69.5 75910084910536 75997100014797
linux 3 1 0x1b00 135 199886.5 30.01 3105.91 319529272376 452693314986 486638918324 531779312 2172317413 0 1380766776949 43.7 45.5 50.3 59.0 61.6 69.0 76260962223041 76347977856297
linux 4 1 0x1b00 135 199979.6 30.01 3086.88 297793171957 440063290064 473032940793 507111070 2815904901 0 1416356968108 45.4 46.0 51.4 59.5 62.7 69.9 76611412236553 76698427089323
linux 0 1 0x1b00 95 200001.2 30.01 3072.59 335098131020 457531534392 491772114509 535351532 2988814414 0 1398124059949 45.5 46.2 51.8 59.8 63.5 70.7 76962987682378 77050003071471
