i rx_desc rx_bytes tx_desc tx_bytes instructions cycles ref_cycles llc_miss c3 c6 c7 joules timestamp
320 6 8588 0 0 198023167846 438454423962 438681156383 176614406 2657528129 0 6162039515728 3392659644 7175546188434
321 0 0 2 66 0 0 0 0 0 0 0 0 7175546227898
322 0 0 3 8588 0 0 0 0 0 0 0 0 7175546251190
323 0 0 0 0 0 0 0 0 0 0 0 0 7175546286974
324 1 66 0 0 0 0 0 0 0 0 0 0 7175546322926
325 6 8588 0 0 0 0 0 0 0 0 0 0 7175546354690
326 0 0 2 66 0 0 0 0 0 0 0 0 7175546391242
327 0 0 3 8588 0 0 0 0 0 0 0 0 7175546414526
328 0 0 0 0 0 0 0 0 0 0 0 0 7175546450298
329 1 66 0 0 0 0 0 0 0 0 0 0 7175546501306
330 6 8588 0 0 0 0 0 0 0 0 0 0 7175546538350
331 0 0 2 66 0 0 0 0 0 0 0 0 7175546572354
332 0 0 3 8588 0 0 0 0 0 0 0 0 7175546595698
333 0 0 0 0 0 0 0 0 0 0 0 0 7175546628454
334 1 66 0 0 0 0 0 0 0 0 0 0 7175546655214
335 1 66 0 0 0 0 0 0 0 0 0 0 7175546682306
336 6 8588 0 0 0 0 0 0 0 0 0 0 7175546713842
337 0 0 2 66 0 0 0 0 0 0 0 0 7175546750554
338 0 0 3 8588 0 0 0 0 0 0 0 0 7175546773830
339 0 0 0 0 0 0 0 0 0 0 0 0 7175546806638
340 1 66 0 0 0 0 0 0 0 0 0 0 7175546845986
341 6 8588 0 0 0 0 0 0 0 0 0 0 7175546877114
342 0 0 2 66 0 0 0 0 0 0 0 0 7175546913818
343 0 0 3 8588 0 0 0 0 0 0 0 0 7175546937170
344 0 0 0 0 0 0 0 0 0 0 0 0 7175546972958
345 1 66 0 0 0 0 0 0 0 0 0 0 7175547011934
346 6 8588 0 0 0 0 0 0 0 0 0 0 7175547043774
347 0 0 2 66 0 0 0 0 0 0 0 0 7175547080198
348 0 0 3 8588 0 0 0 0 0 0 0 0 7175547103474
349 0 0 0 0 0 0 0 0 0 0 0 0 7175547139246
